trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
8,True,"{'a': 0, 'e': 0}",20,8,20.964392987589914,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,3,26.890279765066726,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,8,29.918929516955135,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,0,18.981802762975285,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",20,0,31.75029663138722,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",30,14,25.046749700585295,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,2,27.90664678114894,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,19,19.14719698020705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",30,22,16.56578280963083,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,0,27.64613956047247,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,16,10.450032531540469,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,15,30.09532970213374,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,19,12.781341884557264,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",30,10,35.37554058081349,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,10,15.324490765790411,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,14,11.80481875041113,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",30,20,16.494954275402012,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",25,11,22.578794808090105,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,8,18.93682247592904,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",30,6,46.175899406773596,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
